Aakar Gupta,[Facebook]
Gopinaath Kannabiran,"[IT University of Copenhagen, Aarhus University, Denmark]"
Graham Wilson,"[University of Strathclyde, UK]"
Greg Wadley,[University of Melbourne]
Guihuan Feng,"[Nanjing University, China]"
Gunnar Stevens,[University of Siegen]
Gözel Shakeri,[Carl von Ossietzky University of Oldenburg]
Günter Wallner,[TU Eindhoven]
Haiyi Zhu,[Carnegie Mellon University]
Haley MacLeod,"[Facebook, Indiana University, US]"
Hans Gellersen,[Aarhus University]
Hans-Christian Jetter,"[University of Applied Sciences Upper Austria, Hagenberg Campus]"
Hao-Chuan Wang,"[University of California Davis, US]"
Hao-Hua Chu,[National Taiwan University]
Hasti Seifi,[Max Planck Institute]
Heekyoung Jung,[University of Cincinnati]
Heike Winschiers-Theophilus,[Namibia University of Science and Technology]
Helen Petrie,[University of York]
Heloisa Candello,"[IBM, IBM Research, Brazil]"
Heloisa de Souza Pereira Candello,[IBM Brazil]
Henning Pohl,[University of Copenhagen]
Hideaki Kuzuoka,[The University of Tokyo]
Hideyuki Nakanishi,"[Osaka University, Japan]"
Horia Maior,"[University of Lincoln, UK]"
Huaishu Peng,[University of Maryland]
Hugo Romat,[Microsoft]
Hwajung Hong,"[Seoul National University, Korea]"
Hyunyoung Kim,[University of Copenhagen]
Ian Oakley,"[Ulsan National Institute of Science and Technology, South Korea]"
Ignacio (Nacho) Avellino,"[University of Maryland Baltimore County, MD, USA]"
Ignacio Avellino,[University of Maryland Baltimore County]
Ihudiya Finda Williams,[University of Michigan]
Ingmar Weber,[Qatar Computing Research Institute]
Irina Shklovski,"[IT University of Copenhagen, Denmark]"
Ishrat Ahmed,[University of Pittsburgh]
Iulian Radu,[Harvard University]
Jacob Thebault-Spieker,[Virginia Tech]
Jaelle Scheuerman,[U.S. Naval Research Laboratory]
Jaeyeon Lee,[Ulsan National Institute of Science and Technology]
Jakita O. Thomas,"[Auburn University, USA]"
Jakob Karolus,"[LMU Munich, German Research Center for Artificial Intelligence (DFKI)]"
Jalal Mahmud,[IBM Research]
James Pierce,[University of Washington]
Jamie Mahoney,[Northumbria University]
Jamy Li,"[University of Twente, Netherlands]"
Jan Borchers,[RWTH Aachen]
Jan Gugenheimer,[Institut Polytechnique de Paris]
Janet Huang,"[Technical University of Eindhoven, Netherlands]"
Janne Lindqvist,"[Aalto, Rutgers]"
Jasmin Niess,[University of Bremen]
Jasmine Jones,[Berea College]
Jason Alexander,[University of Bath]
Jason Jacques,[University of Cambridge]
Jason Yip,[University of Washington]
Jed Brubaker,"[University of Colorado Boulder, USA, CU Boulder]"
Jeff Nichols,[Apple]
Jeffrey Bardzell,"[Indiana University, USA, Pennsylvania State University]"
Jeffrey Bigham,[Carnegie Mellon University]
Jeni Paay,"[Swinburne University of Technology, Melbourne, Australia]"
Jennefer Hart,"[BBC, UK]"
Jennifer Pearson,[Swansea University]
Jennifer Rode,[UCL]
Jenny Waycott,[U of Melbourne]
Jessica Cauchard,[Ben Gurion University of the Negev]
Jessica Colnago,"[Carnegie Mellon University, USA, Carnegie Mellon University, US]"
Jessica Hammer,[Carnegie Mellon University]
Jessica Roberts,[Georgia Tech]
Jie Cai,[Penn State University]
Jie Li,[CWI]
Jim Wallace,[University of Waterloo]
Jin Huang,"[A M As Institute of Software, Chinese Academy of Sciences (ISCAS)]"
Jina Huh-Yoo,"[Drexel University, USA]"
