name,affiliation
Philippe Bonnet,IT University of Copenhagen
Rita Borgo,King's College London
André Brinkmann,Johannes Gutenberg University Mainz
Ali R. Butt,Virginia Tech
Hamish Carr,University of Leeds
Jerry Chou,"National Tsing Hua University, Taiwan"
Sheng Di,"Argonne National Laboratory (ANL), University of Chicago"
Greg Eisenhauer,Georgia Institute of Technology
Ana Gainaru,Oak Ridge National Laboratory (ORNL)
Berk Geveci,Kitware Inc
Xubin He,"Temple University, Department of Computer and Information Sciences"
Dan Huang,"Sun Yat-sen University, Guangzhou, China"
Jian Huang,University of Tennessee
Soonwook Hwang,Korea Institute of Science and Technology Information (KISTI)
Chris Johnson,University of Utah
Aditi Krishnapriyan,Lawrence Berkeley National Laboratory (LBNL)
Sidharth Kumar,University of Illinois Chicago
Julian Kunkel,"University of Göttingen; GWDG, Germany"
Tahsin Kurc,Stony Brook University
Erwin Laure,Max Planck Computing and Data Facility
Xin Liang,"University of Kentucky, Oak Ridge National Laboratory (ORNL)"
Qing Liu,New Jersey Institute of Technology
Paul A. Navratil,"Texas Advanced Computing Center (TACC), University of Texas"
Sarah Neuwirth,"Johannes Gutenberg University Mainz, Juelich Supercomputing Centre (JSC)"
Dave Pugmire,Oak Ridge National Laboratory (ORNL)
Hiranmayi Ranganathan,Lawrence Livermore National Laboratory
Robert B. Ross,Argonne National Laboratory (ANL)
Chris Schlipalius,"Pawsey Supercomputing Centre; Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia"
Han-Wei Shen,Ohio State University
Jerome Soumagne,Intel Corporation
Xian-He Sun,Illinois Institute of Technology
Keichi Takahashi,Tohoku University
Osamu Tatebe,University of Tsukuba
Jana Thayer,SLAC National Accelerator Laboratory
Lipeng Wan,Georgia State University
Jianwu Wang,"University of Maryland, Baltimore County"
Patrick Widener,Oak Ridge National Laboratory
Kesheng (John) Wu,Lawrence Berkeley National Laboratory (LBNL)
Wei Xue,"Tsinghua University, China"
Scott Klasky,Oak Ridge National Laboratory (ORNL)
Daniela Ushizima,"Lawrence Berkeley National Laboratory (LBNL); University of California, Berkeley"
Vibhatha Abeykoon,Voltron Data
John Bent,Seagate Systems
Cristiana Bentes,Rio de Janeiro State University (UERJ)
Philippe Bonnet,IT University of Copenhagen
Rita Borgo,King's College London
André Brinkmann,Johannes Gutenberg University Mainz
Ali R. Butt,Virginia Tech
Hamish Carr,University of Leeds
Jerry Chou,"National Tsing Hua University, Taiwan"
Sheng Di,"Argonne National Laboratory (ANL), University of Chicago"
Greg Eisenhauer,Georgia Institute of Technology
Ana Gainaru,Oak Ridge National Laboratory (ORNL)
Berk Geveci,Kitware Inc
Xubin He,"Temple University, Department of Computer and Information Sciences"
Dan Huang,"Sun Yat-sen University, Guangzhou, China"
Jian Huang,University of Tennessee
Soonwook Hwang,Korea Institute of Science and Technology Information (KISTI)
Chris Johnson,University of Utah
Aditi Krishnapriyan,Lawrence Berkeley National Laboratory (LBNL)
Sidharth Kumar,University of Illinois Chicago
Julian Kunkel,"University of Göttingen; GWDG, Germany"
Tahsin Kurc,Stony Brook University
Erwin Laure,Max Planck Computing and Data Facility
Xin Liang,"University of Kentucky, Oak Ridge National Laboratory (ORNL)"
Qing Liu,New Jersey Institute of Technology
Paul A. Navratil,"Texas Advanced Computing Center (TACC), University of Texas"
Sarah Neuwirth,"Johannes Gutenberg University Mainz, Juelich Supercomputing Centre (JSC)"
Dave Pugmire,Oak Ridge National Laboratory (ORNL)
Hiranmayi Ranganathan,Lawrence Livermore National Laboratory
Robert B. Ross,Argonne National Laboratory (ANL)
Chris Schlipalius,"Pawsey Supercomputing Centre; Commonwealth Scientific and Industrial Research Organisation (CSIRO), Australia"
Han-Wei Shen,Ohio State University
Jerome Soumagne,Intel Corporation
Xian-He Sun,Illinois Institute of Technology
Keichi Takahashi,Tohoku University
Osamu Tatebe,University of Tsukuba
Jana Thayer,SLAC National Accelerator Laboratory
Lipeng Wan,Georgia State University
Jianwu Wang,"University of Maryland, Baltimore County"
Patrick Widener,Oak Ridge National Laboratory
Kesheng (John) Wu,Lawrence Berkeley National Laboratory (LBNL)
Wei Xue,"Tsinghua University, China"
Pavan Balaji,Facebook
Amelie Chi Zhou,Hong Kong Baptist University
Sameh Abdulah,King Abdullah University of Science and Technology (KAUST)
Prasanna Balaprakash,Oak Ridge National Laboratory (ORNL)
Olivier Beaumont,"French Institute for Research in Computer Science and Automation (INRIA), University of Bordeaux (IMB)"
Zhiguang Chen,"Sun Yat-sen University, Guangzhou, China"
Aditya Devarakonda,Wake Forest University
Nikoli Dryden,"ETH Zürich, Lawrence Livermore National Laboratory (LLNL)"
Marquita Ellis,IBM Research
Kyle Felker,Argonne National Laboratory (ANL)
Negin Forouzesh,"California State University, Los Angeles"
Judy Fox,University of Virginia
Evangelos Georganas,Intel Corporation
Sayan Ghosh,Pacific Northwest National Laboratory (PNNL)
Alex Gittens,Rensselaer Polytechnic Institute (RPI)
Bingsheng He,National University of Singapore
Alexander Heinecke,Intel Corporation
Mike Houston,NVIDIA Corporation
Cho-Jui Hsieh,"University of California, Los Angeles (UCLA); Amazon"
Shadi Ibrahim,French Institute for Research in Computer Science and Automation (INRIA)
Surabhi Jain,Microsoft Corporation
Weile Jia,"Institute of Computing Technology, Chinese Academy of Sciences; University of Chinese Academy of Sciences"
Ramakrishnan Kannan,Georgia Institute of Technology
Karthik Kashinath,"NVIDIA Corporation, Lawrence Berkeley National Laboratory (LBNL)"
Janis Keuper,"Offenburg University of Applied Sciences, Fraunhofer Institute for Industrial Mathematics"
Penporn Koanantakool,Google (Thailand) Company Limited
Zhiling Lan,University of Illinois Chicago
Ang Li,Pacific Northwest National Laboratory (PNNL)
Jiajia Li,North Carolina State University
Shigang Li,Beijing University of Posts and Telecommunications
Haikun Liu,Huazhong University of Science and Technology (HUST)
Hang Liu,Rutgers University
Weifeng Liu,"China University of Petroleum, Beijing"
Xiaoyi Lu,"University of California, Merced"
Divya Mahajan,Microsoft Corporation
Preeti Malakar,"Indian Institute of Technology (IIT), Kanpur"
Saeed Maleki,Microsoft Research
Maryam Mehri Dehnavi,University of Toronto
Diana Moise,Hewlett Packard Enterprise (HPE)
Misbah Mubarak,Amazon Web Services
Dheevatsa Mudigere,NVIDIA Corporation
Maxim Naumov,Meta
Bogdan Nicolae,Argonne National Laboratory (ANL)
Devang Patel,Microsoft Corporation
Xuehai Qian,University of Southern California (USC)
Anna Queralt,"Barcelona Supercomputing Center (BSC); Polytechnic University of Catalonia, Spain"
Shweta Salaria,IBM TJ Watson Research Center
Suttinee Sawadsitang,"Chiang Mai University, Thailand"
Xipeng Shen,North Carolina State University
Min Si,Meta Platforms Inc
Dan C Stanzione,University of Texas
Dingwen Tao,Indiana University
Brian C. Van Essen,Lawrence Livermore National Laboratory (LLNL)
Abhinav Vishnu,Advanced Micro Devices (AMD) Inc
Bharti Wadhwa,IBM Research
Rui Wang,Beihang University
Yu (Emma) Wang,Google LLC
Zeke Wang,Zhejiang University
Yanjie Wei,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences"
Zeyi Wen,"Hong Kong University of Science and Technology, Guangzhou; Hong Kong University of Science and Technology"
Bing Xie,Microsoft Corporation
Haiying Xu,National Center for Atmospheric Research (NCAR)
Steven R. Young,"Oak Ridge National Laboratory (ORNL), University of Tennessee"
Shuhao Zhang,Nanyang Technological University
Wei Zhang,Hong Kong University of Science and Technology
Zhao Zhang,"Rutgers University, Texas Advanced Computing Center (TACC)"
Yue Zhu,IBM Research
Tanzima Islam,Texas State University
Jidong Zhai,"Tsinghua University, China"
Ahmed Ali-Eldin Hassan,"Chalmers University of Technology, Sweden; Elastisys, Sweden"
Jean-Baptiste Besnard,ParaTools Inc
Abhinav Bhatele,University of Maryland
Nicholas Chaimov,ParaTools Inc
Quan Chen,"Shanghai Jiao Tong University, Alibaba Cloud"
Trilce Estrada,University of New Mexico
Wanling Gao,"Institute of Computing Technology, Chinese Academy of Sciences"
Markus Geimer,"Forschungszentrum Jülich, Juelich Supercomputing Centre (JSC)"
Ann Gentile,Sandia National Laboratories
Hui Guan,"University of Massachusetts, Amherst"
Georg Hager,"Friedrich-Alexander University, Erlangen-Nuremberg; Erlangen National High Performance Computing Center"
Simon Hammond,National Nuclear Security Administration (NNSA)
Mohammad A Islam,"University of Texas, Arlington"
Julien Jaeger,French Alternative Energies and Atomic Energy Commission (CEA)
John Linford,NVIDIA Corporation
Tongping Liu,"University of Massachusetts, Amherst"
Xu Liu,"North Carolina State University, Oak Ridge National Laboratory (ORNL)"
Allen Malony,"University of Oregon, ParaTools Inc"
Josh Milthorpe,"Oak Ridge National Laboratory (ORNL), Australian National University"
Tiffany M. Mintz,Advanced Micro Devices (AMD) Inc
Frank Mueller,North Carolina State University
Dhabaleswar K. (DK) Panda,Ohio State University
Barry Rountree,Lawrence Livermore National Laboratory
Probir Roy,University of Michigan - Dearborn
Tong Shu,University of North Texas
Dandan Song,Beijing Institute of Technology
Nathan Tallent,Pacific Northwest National Laboratory (PNNL)
Guangming Tan,"Institute of Computing Technology, Chinese Academy of Sciences; Chinese Academy of Sciences"
Jesper Larsson Träff,Technical University Wien (Vienna University of Technology)
Michèle Weiland,"University of Edinburgh, EPCC"
Bert Wesarg,"GWT-TUD GmbH; Department for Information Services and High Performance Computing (ZIH), Center for Interdisciplinary Digital Sciences (CIDS), Technische Universität Dresden"
Nicholas J. Wright,National Energy Research Scientific Computing Center (NERSC)
Yang You,National University of Singapore
John Shalf,Lawrence Berkeley National Laboratory (LBNL)
Didem Unat,"Koç University, Turkey"
James A. Ang,Pacific Northwest National Laboratory (PNNL)
Keren Bergman,"Columbia University, Ayar Labs"
Shekhar Borkar,Qualcomm Inc
Anastasiia Butko,Lawrence Berkeley National Laboratory (LBNL)
David Donofrio,"Tactical Computing Laboratories LLC, Lawrence Berkeley National Laboratory (LBNL)"
Mariami Gachechiladze,Technical University Darmstadt
Maya Gokhale,Lawrence Livermore National Laboratory (LLNL)
Xiaohu Guo,Hartree Centre
Thomas Häner,Microsoft Corporation
Myoungsoo Jung,Korea Advanced Institute of Science and Technology (KAIST)
Stefano Markidis,"KTH Royal Institute of Technology, Sweden"
George Michelogiannakis,"Lawrence Berkeley National Laboratory (LBNL), Stanford University"
Kenneth O'Brien,Advanced Micro Devices (AMD) Inc
Olga Ovchinnikova,Oak Ridge National Laboratory (ORNL)
Scott Pakin,Los Alamos National Laboratory (LANL)
Robert Schreiber,Cerebras Systems
Catherine Schuman,University of Tennessee
Damian S. Steiger,Microsoft Corporation
Osman Unsal,Barcelona Supercomputing Center (BSC)
Jeffrey S. Vetter,Oak Ridge National Laboratory (ORNL)
Richard Vuduc,Georgia Institute of Technology
Olga Pearce,"Lawrence Livermore National Laboratory, Texas A&M University"
Kento Sato,RIKEN
Gabriel Antoniu,French Institute for Research in Computer Science and Automation (INRIA)
Michela Becchi,North Carolina State University
Amanda J. Bienz,University of New Mexico
David Boehme,Lawrence Livermore National Laboratory (LLNL)
Patrick Bridges,University of New Mexico
Stephanie Brink,Lawrence Livermore National Laboratory (LLNL)
Andrew Chien,"University of Chicago, Argonne National Laboratory (ANL)"
Dilma Da Silva,Texas A&M University
Damian Dechev,"University of Central Florida, National Science Foundation (NSF)"
James Dinan,NVIDIA Corporation
Nan Ding,Lawrence Berkeley National Laboratory (LBNL)
David Eberius,Oak Ridge National Laboratory (ORNL)
Kurt B. Ferreira,"Sandia National Laboratories, University of New Mexico"
Rong Ge,Clemson University
Balazs Gerofi,"Intel Corporation, RIKEN"
Elsa J. Gonsiorowski,Lawrence Livermore National Laboratory (LLNL)
Ganesh Gopalakrishnan,University of Utah
Oded Green,"NVIDIA Corporation, Georgia Institute of Technology"
Luanzheng Guo,Pacific Northwest National Laboratory (PNNL)
Mary Hall,University of Utah
Simon Hammond,National Nuclear Security Administration (NNSA)
Joachim Jenke,RWTH Aachen University
Ian Karlin,NVIDIA Corporation
Dong Li,"University of California, Merced"
Jonathan Madsen,Advanced Micro Devices (AMD) Inc
Nicholas Malaya,Advanced Micro Devices (AMD) Inc
Tan Nguyen,Lawrence Berkeley National Laboratory (LBNL)
Cosmin Eugen Oancea,University of Copenhagen
Lena Oden,"University of Hagen, Germany; Forschungszentrum Jülich"
Stephen L. Olivier,Sandia National Laboratories
Catherine Olschanowsky,Boise State University
Fabrizio Petrini,Intel Corporation
Peter Pirkelbauer,"Lawrence Livermore National Laboratory, University of Central Florida"
Jelena Pjesivac-Grbovic,Verily Life Sciences
Swaroop Pophale,Oak Ridge National Laboratory (ORNL)
Ponnuswamy Sadayappan,"University of Utah, Pacific Northwest National Laboratory (PNNL)"
Anna Sikora,"Autonomous University of Barcelona, Spain"
Timmie Smith,Intel Corporation
Hiroyuki Takizawa,"Tohoku University; Tohoku University, Graduate School of Information Sciences"
Animesh Trivedi,Vrije University Amsterdam
Miwako Tsuji,"RIKEN Center for Computational Science (R-CCS), AHUG"
Eric Van Hensbergen,ARM Ltd
Mohamed Wahib,RIKEN Center for Computational Science (R-CCS)
Sura Zehra,Bloomberg Finance LP
Martin Schulz,"Technical University Munich, Computer Architecture and Parallel Systems; Leibniz Supercomputing Centre"
Melissa C. Smith,Clemson University
Taisuke Boku,University of Tsukuba
Kevin A. Brown,Argonne National Laboratory (ANL)
Jon Calhoun,Clemson University
Almadena Chtchelkanova,National Science Foundation (NSF)
Susan Coghlan,Argonne National Laboratory (ANL)
Danielle A. Ellsworth,Colorado College
Wu Feng,"Virginia Tech; TOP500, Green500"
Maria Garzaran,Intel Corporation
Ryan Grant,"Queen's University, Canada; University of New Mexico"
William D. Gropp,"University of Illinois, National Center for Supercomputing Applications (NCSA)"
Venkatesh Kannan,Irish Centre for High‑End Computing (ICHEC)
Michael Klemm,"Advanced Micro Devices (AMD) Inc, OpenMP Architecture Review Board"
Masaaki Kondo,"Keio University, Tokyo; RIKEN"
Dieter A. Kranzlmueller,"Ludwig-Maxmilians-Universität München, Leibniz Supercomputing Centre"
Johansson Mikael,"CSC – IT Center for Science Ltd, Finland"
Bernd Mohr,Juelich Supercomputing Centre (JSC)
Manish Parashar,"Scientific Computing and Imaging Institute (SCI), University of Utah"
Tapasya Patki,Lawrence Livermore National Laboratory (LLNL)
Zahra Ronaghi,NVIDIA Corporation
Roxana Rusitoru,ARM Ltd
Hari Subramoni,Ohio State University
Edwin L. Weill,NVIDIA Corporation
Dorian C. Arnold,Emory University
Rosa M. Badia,Barçelona Supercomputing Center (BSC); Polytechnic University of Catalonia
Kathryn Mohror,Lawrence Livermore National Laboratory
Ivy Peng,KTH Royal Institute of Technology
Antonino Tumeo,Pacific Northwest National Laboratory (PNNL)
Umit V. Catalyurek,Amazon Web Services and Georgia Institute of Technology
Karen Devine,Sandia National Laboratories (ret.)
Grey Ballard,Wake Forest University
Fredrik Manne,University of Bergen
Seher Acer,Google LLC
Srinivas Aluru,Georgia Institute of Technology
Hartwig Anzt,"Karlsruhe Institute of Technology, University of Tennessee"
Ariful Azad,Indiana University
Petra Berenbrink,University of Hamburg
Sanjukta Bhowmick,University of North Texas
Jed Brown,University of Colorado
