id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>
192/1872,Angela Fan,<h2><b>Angela Fan</b></h2><h3>dblp_id: 192/1872</h3><h3>DBLP URL: <a href='https://dblp.org/pid/192/1872'>https://dblp.org/pid/192/1872</a></h3><h3>Affiliation: Facebook AI Research</h3>,https://dblp.org/pid/192/1872,-0.4014,-0.2671,1,51,284
199/2104,Adina Williams,<h2><b>Adina Williams</b></h2><h3>dblp_id: 199/2104</h3><h3>DBLP URL: <a href='https://dblp.org/pid/199/2104'>https://dblp.org/pid/199/2104</a></h3><h3>Affiliation: Facebook AI</h3>,https://dblp.org/pid/199/2104,-0.4606,-0.3483,1,24,256
13/2617,Christopher Potts,"<h2><b>Christopher Potts</b></h2><h3>dblp_id: 13/2617</h3><h3>DBLP URL: <a href='https://dblp.org/pid/13/2617'>https://dblp.org/pid/13/2617</a></h3><h3>Affiliation: Stanford University (Chair), Unknown</h3>",https://dblp.org/pid/13/2617,-0.2488,-0.4082,1,18,134
184/8838,Dieuwke Hupkes,<h2><b>Dieuwke Hupkes</b></h2><h3>dblp_id: 184/8838</h3><h3>DBLP URL: <a href='https://dblp.org/pid/184/8838'>https://dblp.org/pid/184/8838</a></h3><h3>Affiliation: Facebook AI Research</h3>,https://dblp.org/pid/184/8838,-0.5525,0.0225,16,19,134
136/9140,Douwe Kiela,"<h2><b>Douwe Kiela</b></h2><h3>dblp_id: 136/9140</h3><h3>DBLP URL: <a href='https://dblp.org/pid/136/9140'>https://dblp.org/pid/136/9140</a></h3><h3>Affiliation: Facebook, Unknown</h3>",https://dblp.org/pid/136/9140,-0.3966,-0.3763,1,34,352
178/8829,Edoardo Ponti,<h2><b>Edoardo Ponti</b></h2><h3>dblp_id: 178/8829</h3><h3>DBLP URL: <a href='https://dblp.org/pid/178/8829'>https://dblp.org/pid/178/8829</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/178/8829,-1.0437,-0.1383,3,31,514
153/5568,Ekaterina Vylomova,<h2><b>Ekaterina Vylomova</b></h2><h3>dblp_id: 153/5568</h3><h3>DBLP URL: <a href='https://dblp.org/pid/153/5568'>https://dblp.org/pid/153/5568</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/153/5568,-0.646,-0.236,3,17,186
213/7927,Emily Dinan,<h2><b>Emily Dinan</b></h2><h3>dblp_id: 213/7927</h3><h3>DBLP URL: <a href='https://dblp.org/pid/213/7927'>https://dblp.org/pid/213/7927</a></h3><h3>Affiliation: Facebook AI Research</h3>,https://dblp.org/pid/213/7927,-0.4181,-0.3363,1,10,90
92/6322,Holger Schwenk,<h2><b>Holger Schwenk</b></h2><h3>dblp_id: 92/6322</h3><h3>DBLP URL: <a href='https://dblp.org/pid/92/6322'>https://dblp.org/pid/92/6322</a></h3><h3>Affiliation: Meta AI</h3>,https://dblp.org/pid/92/6322,-0.2465,0.4372,4,16,272
93/11424,Isabelle Augenstein,"<h2><b>Isabelle Augenstein</b></h2><h3>dblp_id: 93/11424</h3><h3>DBLP URL: <a href='https://dblp.org/pid/93/11424'>https://dblp.org/pid/93/11424</a></h3><h3>Affiliation: University of Copenhagen, Denmark, University of Copenhagen (Senior Chair), University of Copenhagen, Unknown</h3>",https://dblp.org/pid/93/11424,-0.7285,0.0964,3,22,162
21/6793,Luke Zettlemoyer,"<h2><b>Luke Zettlemoyer</b></h2><h3>dblp_id: 21/6793</h3><h3>DBLP URL: <a href='https://dblp.org/pid/21/6793'>https://dblp.org/pid/21/6793</a></h3><h3>Affiliation: University of Washington, University of Washington and Meta, Unknown</h3>",https://dblp.org/pid/21/6793,0.0489,-0.8294,1,74,1062
17/2183,Marta R. Costa-jussà,"<h2><b>Marta R. Costa-jussà</b></h2><h3>dblp_id: 17/2183</h3><h3>DBLP URL: <a href='https://dblp.org/pid/17/2183'>https://dblp.org/pid/17/2183</a></h3><h3>Affiliation: Technical University of Catalonia, Meta AI</h3>",https://dblp.org/pid/17/2183,-0.188,0.3724,4,33,404
99/671k,Miikka Silfverberg,<h2><b>Miikka Silfverberg</b></h2><h3>dblp_id: 99/671k</h3><h3>DBLP URL: <a href='https://dblp.org/pid/99/671k'>https://dblp.org/pid/99/671k</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/99/671k,-0.6052,-0.222,3,11,78
32/5243,Mohit Bansal,"<h2><b>Mohit Bansal</b></h2><h3>dblp_id: 32/5243</h3><h3>DBLP URL: <a href='https://dblp.org/pid/32/5243'>https://dblp.org/pid/32/5243</a></h3><h3>Affiliation: University of North Carolina, Chapel Hill, Unknown</h3>",https://dblp.org/pid/32/5243,0.1747,-0.5064,1,62,420
44/8358,Pontus Stenetorp,"<h2><b>Pontus Stenetorp</b></h2><h3>dblp_id: 44/8358</h3><h3>DBLP URL: <a href='https://dblp.org/pid/44/8358'>https://dblp.org/pid/44/8358</a></h3><h3>Affiliation: University College London, Unknown</h3>",https://dblp.org/pid/44/8358,0.1758,-0.5791,1,20,102
182/2556,Robin Jia,<h2><b>Robin Jia</b></h2><h3>dblp_id: 182/2556</h3><h3>DBLP URL: <a href='https://dblp.org/pid/182/2556'>https://dblp.org/pid/182/2556</a></h3><h3>Affiliation: University of Southern California</h3>,https://dblp.org/pid/182/2556,-0.2562,-0.4732,1,20,138
23/90,Roger Levy,"<h2><b>Roger Levy</b></h2><h3>dblp_id: 23/90</h3><h3>DBLP URL: <a href='https://dblp.org/pid/23/90'>https://dblp.org/pid/23/90</a></h3><h3>Affiliation: Massachusetts Institute of Technology, Unknown</h3>",https://dblp.org/pid/23/90,-0.4725,-0.4638,1,7,28
146/4361,Ryan Cotterell,"<h2><b>Ryan Cotterell</b></h2><h3>dblp_id: 146/4361</h3><h3>DBLP URL: <a href='https://dblp.org/pid/146/4361'>https://dblp.org/pid/146/4361</a></h3><h3>Affiliation: ETH Zürich (Switzerland), University of Cambridge, ETH Zurich, ETH Zürich (Senior Chair), ETH Zürich, Unknown</h3>",https://dblp.org/pid/146/4361,-0.5698,-0.253,3,29,344
116/0502,Samuel R. Bowman,<h2><b>Samuel R. Bowman</b></h2><h3>dblp_id: 116/0502</h3><h3>DBLP URL: <a href='https://dblp.org/pid/116/0502'>https://dblp.org/pid/116/0502</a></h3><h3>Affiliation: New York University</h3>,https://dblp.org/pid/116/0502,-0.2748,-0.3916,1,15,118
18/3348-1,Sebastian Riedel,<h2><b>Sebastian Riedel</b></h2><h3>dblp_id: 18/3348-1</h3><h3>DBLP URL: <a href='https://dblp.org/pid/18/3348-1'>https://dblp.org/pid/18/3348-1</a></h3><h3>Affiliation: University College London and Facebook AI Research</h3>,https://dblp.org/pid/18/3348-1,-0.3222,-0.362,1,38,186
64/8153,Siva Reddy,"<h2><b>Siva Reddy</b></h2><h3>dblp_id: 64/8153</h3><h3>DBLP URL: <a href='https://dblp.org/pid/64/8153'>https://dblp.org/pid/64/8153</a></h3><h3>Affiliation: McGill University and Mila (Canada), McGill University, Canada, McGill University, Unknown</h3>",https://dblp.org/pid/64/8153,-0.58,-0.1249,3,34,164
275/3258,Ves Stoyanov,<h2><b>Ves Stoyanov</b></h2><h3>dblp_id: 275/3258</h3><h3>DBLP URL: <a href='https://dblp.org/pid/275/3258'>https://dblp.org/pid/275/3258</a></h3><h3>Affiliation: Facebook AI</h3>,https://dblp.org/pid/275/3258,0.1386,-0.6398,1,15,320
305/7414,Zeerak Talat,<h2><b>Zeerak Talat</b></h2><h3>dblp_id: 305/7414</h3><h3>DBLP URL: <a href='https://dblp.org/pid/305/7414'>https://dblp.org/pid/305/7414</a></h3><h3>Affiliation: University of Sheffield</h3>,https://dblp.org/pid/305/7414,-0.4946,-0.375,1,7,28
11/7536,Chenghua Lin,"<h2><b>Chenghua Lin</b></h2><h3>dblp_id: 11/7536</h3><h3>DBLP URL: <a href='https://dblp.org/pid/11/7536'>https://dblp.org/pid/11/7536</a></h3><h3>Affiliation: University of Sheffield (UK), Department of Computer Science, University of Sheffield, Unknown</h3>",https://dblp.org/pid/11/7536,0.3646,0.3742,10,20,166
95/3737,Advaith Siddharthan,"<h2><b>Advaith Siddharthan</b></h2><h3>dblp_id: 95/3737</h3><h3>DBLP URL: <a href='https://dblp.org/pid/95/3737'>https://dblp.org/pid/95/3737</a></h3><h3>Affiliation: The Open University (Senior Chair), Unknown</h3>",https://dblp.org/pid/95/3737,0.2055,0.1605,2,9,54
21/3710,Ehud Reiter,<h2><b>Ehud Reiter</b></h2><h3>dblp_id: 21/3710</h3><h3>DBLP URL: <a href='https://dblp.org/pid/21/3710'>https://dblp.org/pid/21/3710</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/21/3710,-0.693,0.5924,5,20,154
m/KathleenMcKeown,Kathleen McKeown,"<h2><b>Kathleen McKeown</b></h2><h3>dblp_id: m/KathleenMcKeown</h3><h3>DBLP URL: <a href='https://dblp.org/pid/m/KathleenMcKeown'>https://dblp.org/pid/m/KathleenMcKeown</a></h3><h3>Affiliation: Columbia University, USA, and Amazon AWS AI Labs, Unknown</h3>",https://dblp.org/pid/m/KathleenMcKeown,0.294,-0.1704,2,48,362
30/4465,Kees van Deemter,<h2><b>Kees van Deemter</b></h2><h3>dblp_id: 30/4465</h3><h3>DBLP URL: <a href='https://dblp.org/pid/30/4465'>https://dblp.org/pid/30/4465</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/30/4465,-0.654,0.5957,5,21,152
136/9233,Marek Rei,"<h2><b>Marek Rei</b></h2><h3>dblp_id: 136/9233</h3><h3>DBLP URL: <a href='https://dblp.org/pid/136/9233'>https://dblp.org/pid/136/9233</a></h3><h3>Affiliation: Imperial College London, Unknown</h3>",https://dblp.org/pid/136/9233,-0.5414,0.0991,3,23,160
65/6264,Maria Liakata,"<h2><b>Maria Liakata</b></h2><h3>dblp_id: 65/6264</h3><h3>DBLP URL: <a href='https://dblp.org/pid/65/6264'>https://dblp.org/pid/65/6264</a></h3><h3>Affiliation: Queen Mary University of London (Senior Chair), Unknown</h3>",https://dblp.org/pid/65/6264,-0.3508,0.0933,10,27,208
34/1998,Nizar Habash,<h2><b>Nizar Habash</b></h2><h3>dblp_id: 34/1998</h3><h3>DBLP URL: <a href='https://dblp.org/pid/34/1998'>https://dblp.org/pid/34/1998</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/34/1998,0.1177,0.0146,2,47,330
55/1330,Owen Rambow,<h2><b>Owen Rambow</b></h2><h3>dblp_id: 55/1330</h3><h3>DBLP URL: <a href='https://dblp.org/pid/55/1330'>https://dblp.org/pid/55/1330</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/55/1330,0.1683,-0.0149,2,31,324
04/696,Rebecca J. Passonneau,<h2><b>Rebecca J. Passonneau</b></h2><h3>dblp_id: 04/696</h3><h3>DBLP URL: <a href='https://dblp.org/pid/04/696'>https://dblp.org/pid/04/696</a></h3><h3>Affiliation: Unknown</h3>,https://dblp.org/pid/04/696,0.1947,0.1109,2,14,74
